Package Name,Resolved Version,Advisory ID,Title,CVSS Score,CVSS Type,CVSS Vector,Official Severity,Aliases,Advisory URL,Severity Rank
@opentelemetry/auto-instrumentations-node,0.52.1,GHSA-q7rr-3cgh-j5r3,Prometheus exporter process crash via malformed HTTP request,7.5,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,CVE-2026-44902,https://github.com/open-telemetry/opentelemetry-js/security/advisories/GHSA-q7rr-3cgh-j5r3,3
@opentelemetry/core,1.27.0,GHSA-8988-4f7v-96qf,OpenTelemetry Core: Unbounded memory allocation in W3C Baggage propagation,5.3,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,MODERATE,CVE-2026-54285,https://github.com/open-telemetry/opentelemetry-js/security/advisories/GHSA-8988-4f7v-96qf,2
@opentelemetry/core,1.29.0,GHSA-8988-4f7v-96qf,OpenTelemetry Core: Unbounded memory allocation in W3C Baggage propagation,5.3,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,MODERATE,CVE-2026-54285,https://github.com/open-telemetry/opentelemetry-js/security/advisories/GHSA-8988-4f7v-96qf,2
@opentelemetry/core,1.30.1,GHSA-8988-4f7v-96qf,OpenTelemetry Core: Unbounded memory allocation in W3C Baggage propagation,5.3,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,MODERATE,CVE-2026-54285,https://github.com/open-telemetry/opentelemetry-js/security/advisories/GHSA-8988-4f7v-96qf,2
@opentelemetry/propagator-jaeger,1.27.0,GHSA-45rx-2jwx-cxfr,OpenTelemetry JavaScript: Denial of service in `JaegerPropagator` via unhandled exception on a malformed header,7.5,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,CVE-2026-59892,https://github.com/open-telemetry/opentelemetry-js/security/advisories/GHSA-45rx-2jwx-cxfr,3
@opentelemetry/sdk-node,0.54.2,GHSA-q7rr-3cgh-j5r3,Prometheus exporter process crash via malformed HTTP request,7.5,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,CVE-2026-44902,https://github.com/open-telemetry/opentelemetry-js/security/advisories/GHSA-q7rr-3cgh-j5r3,3
@tootallnate/once,1.1.2,GHSA-vpq2-c234-7xj6,@tootallnate/once vulnerable to Incorrect Control Flow Scoping,3.3,CVSS_V3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:L,LOW,CVE-2026-3449,https://nvd.nist.gov/vuln/detail/CVE-2026-3449,1
adm-zip,0.5.18,GHSA-xcpc-8h2w-3j85,adm-zip: Crafted ZIP file triggers 4GB memory allocation,7.5,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,CVE-2026-39244,https://nvd.nist.gov/vuln/detail/CVE-2026-39244,3
ai,4.3.19,GHSA-rwvc-j5jr-mgvh,Vercel’s AI SDK's filetype whitelists can be bypassed when uploading files,3.7,CVSS_V3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:L/A:N,LOW,CVE-2025-48985,https://nvd.nist.gov/vuln/detail/CVE-2025-48985,1
axios,1.12.0,GHSA-35jp-ww65-95wh,axios Vulnerable to Full Man-in-the-Middle via Prototype Pollution Gadget in `config.proxy`,8.7,CVSS_V3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:H/I:H/A:N,HIGH,CVE-2026-44494,https://github.com/axios/axios/security/advisories/GHSA-35jp-ww65-95wh,3
axios,1.12.0,GHSA-3g43-6gmg-66jw,axios Vulnerable to Credential Theft and Response Hijacking via Prototype Pollution Gadget in Config Merge,7.0,CVSS_V3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:L/A:L,HIGH,CVE-2026-44495,https://github.com/axios/axios/security/advisories/GHSA-3g43-6gmg-66jw,3
axios,1.12.0,GHSA-3p68-rc4w-qgx5,Axios has a NO_PROXY Hostname Normalization Bypass that Leads to SSRF,6.3,CVSS_V4,CVSS:4.0/AV:N/AC:L/AT:P/PR:N/UI:N/VC:L/VI:L/VA:N/SC:L/SI:L/SA:N,MODERATE,CVE-2025-62718,https://github.com/axios/axios/security/advisories/GHSA-3p68-rc4w-qgx5,2
axios,1.12.0,GHSA-3w6x-2g7m-8v23,Axios: Invisible JSON Response Tampering via Prototype Pollution Gadget in `parseReviver`,6.5,CVSS_V3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:H/A:N,MODERATE,CVE-2026-42044,https://github.com/axios/axios/security/advisories/GHSA-3w6x-2g7m-8v23,2
axios,1.12.0,GHSA-42h9-826w-cgv3,Axios: Excessive recursion in formDataToJSON can cause denial of service,6.3,CVSS_V4,CVSS:4.0/AV:N/AC:L/AT:P/PR:N/UI:N/VC:N/VI:N/VA:L/SC:N/SI:N/SA:N,MODERATE,,https://github.com/axios/axios/security/advisories/GHSA-42h9-826w-cgv3,2
axios,1.12.0,GHSA-43fc-jf86-j433,Axios is Vulnerable to Denial of Service via __proto__ Key in mergeConfig,7.5,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,CVE-2026-25639,https://github.com/axios/axios/security/advisories/GHSA-43fc-jf86-j433,3
axios,1.12.0,GHSA-445q-vr5w-6q77,Axios: CRLF Injection in multipart/form-data body via unsanitized blob.type in formDataToStream,5.3,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,MODERATE,CVE-2026-42037,https://github.com/axios/axios/security/advisories/GHSA-445q-vr5w-6q77,2
axios,1.12.0,GHSA-5c9x-8gcm-mpgx,Axios' HTTP adapter-streamed uploads bypass maxBodyLength when maxRedirects: 0,5.3,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,MODERATE,CVE-2026-42034,https://github.com/axios/axios/security/advisories/GHSA-5c9x-8gcm-mpgx,2
axios,1.12.0,GHSA-62hf-57xw-28j9,Axios: unbounded recursion in toFormData causes DoS via deeply nested request data,7.5,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,MODERATE,CVE-2026-42039,https://github.com/axios/axios/security/advisories/GHSA-62hf-57xw-28j9,2
axios,1.12.0,GHSA-6chq-wfr3-2hj9,Axios: Header Injection via Prototype Pollution,7.4,CVSS_V3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:N,HIGH,CVE-2026-42035,https://github.com/axios/axios/security/advisories/GHSA-6chq-wfr3-2hj9,3
axios,1.12.0,GHSA-777c-7fjr-54vf,Allocation of Resources Without Limits or Throttling in Axios,7.5,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,CVE-2026-44488,https://github.com/axios/axios/security/advisories/GHSA-777c-7fjr-54vf,3
axios,1.12.0,GHSA-7q8q-rj6j-mhjq,Axios: Nested axios option objects can consume polluted prototype values,6.3,CVSS_V4,CVSS:4.0/AV:N/AC:H/AT:P/PR:N/UI:N/VC:N/VI:L/VA:N/SC:N/SI:L/SA:N,MODERATE,,https://github.com/axios/axios/security/advisories/GHSA-7q8q-rj6j-mhjq,2
axios,1.12.0,GHSA-898c-q2cr-xwhg,axios has DoS & Header Injection via Prototype Pollution Read-Side Gadgets in axios merge functions,4.8,CVSS_V3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:L/A:L,MODERATE,CVE-2026-44490,https://github.com/axios/axios/security/advisories/GHSA-898c-q2cr-xwhg,2
axios,1.12.0,GHSA-fvcv-3m26-pcqx,Axios has Unrestricted Cloud Metadata Exfiltration via Header Injection Chain,4.8,CVSS_V3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:N,MODERATE,CVE-2026-40175,https://github.com/axios/axios/security/advisories/GHSA-fvcv-3m26-pcqx,2
axios,1.12.0,GHSA-hfxv-24rg-xrqf,Axios: Regular Expression Denial of Service (ReDoS) via Cookie Name Injection,7.5,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,CVE-2026-44496,https://github.com/axios/axios/security/advisories/GHSA-hfxv-24rg-xrqf,3
axios,1.12.0,GHSA-j5f8-grm9-p9fc,Axios: Proxy-Authorization header leaks to redirect target when proxy is re-evaluated to direct connection,7.5,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,HIGH,CVE-2026-44486,https://github.com/axios/axios/security/advisories/GHSA-j5f8-grm9-p9fc,3
axios,1.12.0,GHSA-jqh4-m9w3-8hp9,Axios: Fetch adapter `ReadableStream` uploads bypass `maxBodyLength`,6.3,CVSS_V4,CVSS:4.0/AV:N/AC:L/AT:P/PR:N/UI:N/VC:N/VI:N/VA:L/SC:N/SI:N/SA:L,MODERATE,,https://github.com/axios/axios/security/advisories/GHSA-jqh4-m9w3-8hp9,2
axios,1.12.0,GHSA-m7pr-hjqh-92cm,Axios: no_proxy bypass via IP alias allows SSRF,6.8,CVSS_V3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:H/I:N/A:N,MODERATE,CVE-2026-42038,https://github.com/axios/axios/security/advisories/GHSA-m7pr-hjqh-92cm,2
axios,1.12.0,GHSA-mmx7-hfxf-jppx,Axios: Prototype pollution gadgets can alter axios request construction,6.3,CVSS_V4,CVSS:4.0/AV:N/AC:H/AT:P/PR:N/UI:N/VC:N/VI:L/VA:N/SC:N/SI:N/SA:N,MODERATE,,https://github.com/axios/axios/security/advisories/GHSA-mmx7-hfxf-jppx,2
axios,1.12.0,GHSA-p92q-9vqr-4j8v,Axios: Proxy-Authorization Credential Leak to Origin Server Across HTTP-to-HTTPS Redirect in Axios Node.js HTTP Adapter,8.2,CVSS_V4,CVSS:4.0/AV:N/AC:L/AT:P/PR:N/UI:N/VC:H/VI:N/VA:N/SC:N/SI:N/SA:N,HIGH,CVE-2026-44487,https://github.com/axios/axios/security/advisories/GHSA-p92q-9vqr-4j8v,3
axios,1.12.0,GHSA-pf86-5x62-jrwf,"Axios: Prototype Pollution Gadgets - Response Tampering, Data Exfiltration, and Request Hijacking",7.4,CVSS_V3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:N,HIGH,CVE-2026-42033,https://github.com/axios/axios/security/advisories/GHSA-pf86-5x62-jrwf,3
axios,1.12.0,GHSA-pmv8-rq9r-6j72,Axios: Deep formToJSON Key Recursion Can Cause Denial of Service,6.3,CVSS_V4,CVSS:4.0/AV:N/AC:L/AT:P/PR:N/UI:N/VC:N/VI:N/VA:L/SC:N/SI:N/SA:N,MODERATE,,https://github.com/axios/axios/security/advisories/GHSA-pmv8-rq9r-6j72,2
axios,1.12.0,GHSA-pmwg-cvhr-8vh7,Axios: Incomplete Fix for CVE-2025-62718 — NO_PROXY Protection Bypassed via RFC 1122 Loopback Subnet (127.0.0.0/8) in Axios 1.15.0,7.2,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:L/I:L/A:N,HIGH,CVE-2026-42043,https://github.com/axios/axios/security/advisories/GHSA-pmwg-cvhr-8vh7,3
axios,1.12.0,GHSA-q8qp-cvcw-x6jj,Axios has prototype pollution read-side gadgets in HTTP adapter that allow credential injection and request hijacking,7.4,CVSS_V3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:N,HIGH,CVE-2026-42264,https://github.com/axios/axios/security/advisories/GHSA-q8qp-cvcw-x6jj,3
axios,1.12.0,GHSA-vf2m-468p-8v99,Axios: HTTP adapter streamed responses bypass maxContentLength,5.3,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,MODERATE,CVE-2026-42036,https://github.com/axios/axios/security/advisories/GHSA-vf2m-468p-8v99,2
axios,1.12.0,GHSA-w9j2-pvgh-6h63,Axios: Authentication Bypass via Prototype Pollution Gadget in `validateStatus` Merge Strategy,4.8,CVSS_V3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:N,MODERATE,CVE-2026-42041,https://github.com/axios/axios/security/advisories/GHSA-w9j2-pvgh-6h63,2
axios,1.12.0,GHSA-xhjh-pmcv-23jw,Axios: Null Byte Injection via Reverse-Encoding in AxiosURLSearchParams,3.7,CVSS_V3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:L/A:N,LOW,CVE-2026-42040,https://github.com/axios/axios/security/advisories/GHSA-xhjh-pmcv-23jw,1
axios,1.12.0,GHSA-xx6v-rp6x-q39c,Axios: XSRF Token Cross-Origin Leakage via Prototype Pollution Gadget in `withXSRFToken` Boolean Coercion,5.4,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N,MODERATE,CVE-2026-42042,https://github.com/axios/axios/security/advisories/GHSA-xx6v-rp6x-q39c,2
axios,1.13.6,GHSA-35jp-ww65-95wh,axios Vulnerable to Full Man-in-the-Middle via Prototype Pollution Gadget in `config.proxy`,8.7,CVSS_V3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:H/I:H/A:N,HIGH,CVE-2026-44494,https://github.com/axios/axios/security/advisories/GHSA-35jp-ww65-95wh,3
axios,1.13.6,GHSA-3g43-6gmg-66jw,axios Vulnerable to Credential Theft and Response Hijacking via Prototype Pollution Gadget in Config Merge,7.0,CVSS_V3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:L/A:L,HIGH,CVE-2026-44495,https://github.com/axios/axios/security/advisories/GHSA-3g43-6gmg-66jw,3
axios,1.13.6,GHSA-3p68-rc4w-qgx5,Axios has a NO_PROXY Hostname Normalization Bypass that Leads to SSRF,6.3,CVSS_V4,CVSS:4.0/AV:N/AC:L/AT:P/PR:N/UI:N/VC:L/VI:L/VA:N/SC:L/SI:L/SA:N,MODERATE,CVE-2025-62718,https://github.com/axios/axios/security/advisories/GHSA-3p68-rc4w-qgx5,2
axios,1.13.6,GHSA-3w6x-2g7m-8v23,Axios: Invisible JSON Response Tampering via Prototype Pollution Gadget in `parseReviver`,6.5,CVSS_V3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:H/A:N,MODERATE,CVE-2026-42044,https://github.com/axios/axios/security/advisories/GHSA-3w6x-2g7m-8v23,2
axios,1.13.6,GHSA-42h9-826w-cgv3,Axios: Excessive recursion in formDataToJSON can cause denial of service,6.3,CVSS_V4,CVSS:4.0/AV:N/AC:L/AT:P/PR:N/UI:N/VC:N/VI:N/VA:L/SC:N/SI:N/SA:N,MODERATE,,https://github.com/axios/axios/security/advisories/GHSA-42h9-826w-cgv3,2
axios,1.13.6,GHSA-445q-vr5w-6q77,Axios: CRLF Injection in multipart/form-data body via unsanitized blob.type in formDataToStream,5.3,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,MODERATE,CVE-2026-42037,https://github.com/axios/axios/security/advisories/GHSA-445q-vr5w-6q77,2
axios,1.13.6,GHSA-5c9x-8gcm-mpgx,Axios' HTTP adapter-streamed uploads bypass maxBodyLength when maxRedirects: 0,5.3,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,MODERATE,CVE-2026-42034,https://github.com/axios/axios/security/advisories/GHSA-5c9x-8gcm-mpgx,2
axios,1.13.6,GHSA-62hf-57xw-28j9,Axios: unbounded recursion in toFormData causes DoS via deeply nested request data,7.5,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,MODERATE,CVE-2026-42039,https://github.com/axios/axios/security/advisories/GHSA-62hf-57xw-28j9,2
axios,1.13.6,GHSA-6chq-wfr3-2hj9,Axios: Header Injection via Prototype Pollution,7.4,CVSS_V3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:N,HIGH,CVE-2026-42035,https://github.com/axios/axios/security/advisories/GHSA-6chq-wfr3-2hj9,3
axios,1.13.6,GHSA-777c-7fjr-54vf,Allocation of Resources Without Limits or Throttling in Axios,7.5,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,CVE-2026-44488,https://github.com/axios/axios/security/advisories/GHSA-777c-7fjr-54vf,3
axios,1.13.6,GHSA-7q8q-rj6j-mhjq,Axios: Nested axios option objects can consume polluted prototype values,6.3,CVSS_V4,CVSS:4.0/AV:N/AC:H/AT:P/PR:N/UI:N/VC:N/VI:L/VA:N/SC:N/SI:L/SA:N,MODERATE,,https://github.com/axios/axios/security/advisories/GHSA-7q8q-rj6j-mhjq,2
axios,1.13.6,GHSA-898c-q2cr-xwhg,axios has DoS & Header Injection via Prototype Pollution Read-Side Gadgets in axios merge functions,4.8,CVSS_V3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:L/A:L,MODERATE,CVE-2026-44490,https://github.com/axios/axios/security/advisories/GHSA-898c-q2cr-xwhg,2
axios,1.13.6,GHSA-fvcv-3m26-pcqx,Axios has Unrestricted Cloud Metadata Exfiltration via Header Injection Chain,4.8,CVSS_V3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:N,MODERATE,CVE-2026-40175,https://github.com/axios/axios/security/advisories/GHSA-fvcv-3m26-pcqx,2
axios,1.13.6,GHSA-hfxv-24rg-xrqf,Axios: Regular Expression Denial of Service (ReDoS) via Cookie Name Injection,7.5,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,CVE-2026-44496,https://github.com/axios/axios/security/advisories/GHSA-hfxv-24rg-xrqf,3
axios,1.13.6,GHSA-j5f8-grm9-p9fc,Axios: Proxy-Authorization header leaks to redirect target when proxy is re-evaluated to direct connection,7.5,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,HIGH,CVE-2026-44486,https://github.com/axios/axios/security/advisories/GHSA-j5f8-grm9-p9fc,3
axios,1.13.6,GHSA-jqh4-m9w3-8hp9,Axios: Fetch adapter `ReadableStream` uploads bypass `maxBodyLength`,6.3,CVSS_V4,CVSS:4.0/AV:N/AC:L/AT:P/PR:N/UI:N/VC:N/VI:N/VA:L/SC:N/SI:N/SA:L,MODERATE,,https://github.com/axios/axios/security/advisories/GHSA-jqh4-m9w3-8hp9,2
axios,1.13.6,GHSA-m7pr-hjqh-92cm,Axios: no_proxy bypass via IP alias allows SSRF,6.8,CVSS_V3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:H/I:N/A:N,MODERATE,CVE-2026-42038,https://github.com/axios/axios/security/advisories/GHSA-m7pr-hjqh-92cm,2
axios,1.13.6,GHSA-mmx7-hfxf-jppx,Axios: Prototype pollution gadgets can alter axios request construction,6.3,CVSS_V4,CVSS:4.0/AV:N/AC:H/AT:P/PR:N/UI:N/VC:N/VI:L/VA:N/SC:N/SI:N/SA:N,MODERATE,,https://github.com/axios/axios/security/advisories/GHSA-mmx7-hfxf-jppx,2
axios,1.13.6,GHSA-mwf2-3pr3-8698,Axios: HTTP/2 streamed uploads bypass `maxBodyLength`,6.3,CVSS_V4,CVSS:4.0/AV:N/AC:L/AT:P/PR:N/UI:N/VC:N/VI:N/VA:L/SC:N/SI:N/SA:L,MODERATE,,https://github.com/axios/axios/security/advisories/GHSA-mwf2-3pr3-8698,2
axios,1.13.6,GHSA-p92q-9vqr-4j8v,Axios: Proxy-Authorization Credential Leak to Origin Server Across HTTP-to-HTTPS Redirect in Axios Node.js HTTP Adapter,8.2,CVSS_V4,CVSS:4.0/AV:N/AC:L/AT:P/PR:N/UI:N/VC:H/VI:N/VA:N/SC:N/SI:N/SA:N,HIGH,CVE-2026-44487,https://github.com/axios/axios/security/advisories/GHSA-p92q-9vqr-4j8v,3
axios,1.13.6,GHSA-pf86-5x62-jrwf,"Axios: Prototype Pollution Gadgets - Response Tampering, Data Exfiltration, and Request Hijacking",7.4,CVSS_V3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:N,HIGH,CVE-2026-42033,https://github.com/axios/axios/security/advisories/GHSA-pf86-5x62-jrwf,3
axios,1.13.6,GHSA-pmv8-rq9r-6j72,Axios: Deep formToJSON Key Recursion Can Cause Denial of Service,6.3,CVSS_V4,CVSS:4.0/AV:N/AC:L/AT:P/PR:N/UI:N/VC:N/VI:N/VA:L/SC:N/SI:N/SA:N,MODERATE,,https://github.com/axios/axios/security/advisories/GHSA-pmv8-rq9r-6j72,2
axios,1.13.6,GHSA-pmwg-cvhr-8vh7,Axios: Incomplete Fix for CVE-2025-62718 — NO_PROXY Protection Bypassed via RFC 1122 Loopback Subnet (127.0.0.0/8) in Axios 1.15.0,7.2,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:L/I:L/A:N,HIGH,CVE-2026-42043,https://github.com/axios/axios/security/advisories/GHSA-pmwg-cvhr-8vh7,3
axios,1.13.6,GHSA-q8qp-cvcw-x6jj,Axios has prototype pollution read-side gadgets in HTTP adapter that allow credential injection and request hijacking,7.4,CVSS_V3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:N,HIGH,CVE-2026-42264,https://github.com/axios/axios/security/advisories/GHSA-q8qp-cvcw-x6jj,3
axios,1.13.6,GHSA-vf2m-468p-8v99,Axios: HTTP adapter streamed responses bypass maxContentLength,5.3,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,MODERATE,CVE-2026-42036,https://github.com/axios/axios/security/advisories/GHSA-vf2m-468p-8v99,2
axios,1.13.6,GHSA-w9j2-pvgh-6h63,Axios: Authentication Bypass via Prototype Pollution Gadget in `validateStatus` Merge Strategy,4.8,CVSS_V3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:N,MODERATE,CVE-2026-42041,https://github.com/axios/axios/security/advisories/GHSA-w9j2-pvgh-6h63,2
axios,1.13.6,GHSA-xhjh-pmcv-23jw,Axios: Null Byte Injection via Reverse-Encoding in AxiosURLSearchParams,3.7,CVSS_V3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:L/A:N,LOW,CVE-2026-42040,https://github.com/axios/axios/security/advisories/GHSA-xhjh-pmcv-23jw,1
axios,1.13.6,GHSA-xx6v-rp6x-q39c,Axios: XSRF Token Cross-Origin Leakage via Prototype Pollution Gadget in `withXSRFToken` Boolean Coercion,5.4,CVSS_V3,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N,MODERATE,CVE-2026-42042,https://github.com/axios/axios/security/advisories/GHSA-xx6v-rp6x-q39c,2
axios,1.15.0,GHSA-35jp-ww65-95wh,axios Vulnerable to Full Man-in-the-Middle via Prototype Pollution Gadget in `config.proxy`,8.7,CVSS_V3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:H/I:H/A:N,HIGH,CVE-2026-44494,https://github.com/axios/axios/security/advisories/GHSA-35jp-ww65-95wh,3
axios,1.15.0,GHSA-3g43-6gmg-66jw,axios Vulnerable to Credential Theft and Response Hijacking via Prototype Pollution Gadget in Config Merge,7.0,CVSS_V3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:L/A:L,HIGH,CVE-2026-44495,https://github.com/axios/axios/security/advisories/GHSA-3g43-6gmg-66jw,3
